geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1037,-23.54533514931352,-46.63899521271491,sao paulo,SP
1046,-23.54588497157669,-46.64374420942636,sao paulo,SP
1041,-23.544036423155262,-46.63988866258875,sao paulo,SP
1035,-23.541612840173386,-46.64158346016764,sao paulo,SP
1012,-23.54780758661154,-46.63484393782474,são paulo,SP
1029,-23.540574380051,-46.63312870430693,sao paulo,SP
1011,-23.54664946252287,-46.63542523302689,sao paulo,SP
1014,-23.546039952915958,-46.63360037350613,sao paulo,SP
1020,-23.5522091334468,-46.629768255571584,são paulo,SP
1045,-23.54245035597841,-46.64271110763996,sao paulo,SP
1009,-23.546891363358633,-46.63649824045029,sao paulo,SP
1007,-23.54996155949427,-46.63720394806338,sao paulo,SP
1032,-23.539922494656143,-46.635130888327446,são paulo,SP
1017,-23.549512688320345,-46.63123527502329,são paulo,SP
1050,-23.54918231337722,-46.64309316226119,sao paulo,SP
1027,-23.53808102090296,-46.630536612116316,sao paulo,SP
1013,-23.547240037691147,-46.63422056848348,sao paulo,SP
1033,-23.539148664865415,-46.63602255146723,sao paulo,SP
1034,-23.54251930800989,-46.637266018467486,sao paulo,SP
1036,-23.541975917853787,-46.640841778965324,sao paulo,SP
1047,-23.546124849824686,-46.64103782520949,são paulo,SP
1048,-23.54702135454196,-46.63973667645345,são paulo,SP
1031,-23.54164447351783,-46.63506595676559,sao paulo,SP
1008,-23.546000168650405,-46.6358765930847,sao paulo,SP
1015,-23.54775552284429,-46.63173753749301,sao paulo,SP
1039,-23.54121489487162,-46.638913511868594,sao paulo,SP
1026,-23.539639404937706,-46.63215384647908,sao paulo,SP
1038,-23.543879126646612,-46.63995414482916,sao paulo,SP
1016,-23.549094879405775,-46.632111638548466,sao paulo,SP
1021,-23.54283546451365,-46.632099226263165,sao paulo,SP
1044,-23.545556845099416,-46.64150085333575,sao paulo,SP
1049,-23.54748584739232,-46.63965922482542,sao paulo,SP
1019,-23.55176219310775,-46.63085454231535,sao paulo,SP
1003,-23.548999834572523,-46.6355816587524,sao paulo,SP
